,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,ASN_m3u8,ASN_childm3,ASN_ts,HLS status,HOST_m3u8
America's Funniest Videos,"['""USA"",America\'s Funniest Videos']",['192.229.163.69'],['NONE'],"[['93.184.215.178', '130.211.30.27', '192.229.163.69'], ['93.184.215.178', '130.211.30.27', '192.229.163.69'], ['93.184.215.178', '130.211.30.27', '192.229.163.69']]",NONE,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",no,cant reverse lookup
American Horrors,"['""USA"",American Horrors']",[],['NONE'],[],Error,[],['NONE'],[],,
Animal Planet*,"['""USA"",Animal Planet*']",['80.80.160.168'],{'80.80.160.168'},"[['80.80.160.168'], ['80.80.160.168'], ['80.80.160.168']]",NONE,['AS21246'],['AS21246'],"['AS21246', 'AS21246', 'AS21246']",no,cant reverse lookup
Apple Sauce Network,"['""USA"",Apple Sauce Network']",['159.65.251.40'],['NONE'],[],Error,['AS14061'],['NONE'],[],,cant reverse lookup
Arirang (Opt-1) (KR),"['""24/7 WORLD NEWS"",Arirang (Opt-1) (KR)']",['23.221.72.10'],{'23.221.72.10'},"[['23.221.72.10'], ['23.221.72.10'], ['23.221.72.10'], ['23.221.72.10']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-10.deploy.static.akamaitechnologies.com', [], ['23.221.72.10'])"
Arirang (Opt-2) (KR),"['""24/7 WORLD NEWS"",Arirang (Opt-2) (KR)']",[],['NONE'],[],Error,[],['NONE'],[],,
Atlanta Channel,"['""USA"",Atlanta Channel']",[],['NONE'],[],Error,[],['NONE'],[],,
BBC World News (Opt-1) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-1) (GB)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
BBC World News (Opt-2) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-2) (GB)']",['89.187.177.20'],['NONE'],"[['89.187.177.20'], ['89.187.177.20'], ['89.187.177.20']]",NONE,['AS60068'],['NONE'],"['AS60068', 'AS60068', 'AS60068']",no,"('new-york-18.cdn77.com', [], ['89.187.177.20'])"
BBC World News (Opt-3) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-3) (GB)']",['92.43.140.249'],['NONE'],"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['NONE'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
BET,"['""USA"",BET']",['104.31.7.163'],['NONE'],[],Error,['AS13335'],['NONE'],[],,cant reverse lookup
BYUtv (HD),"['""USA"",BYUtv (HD)']",['23.221.72.9'],['NONE'],"[['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-9.deploy.static.akamaitechnologies.com', [], ['23.221.72.9'])"
BYUtv (SD),"['""USA"",BYUtv (SD)']",['23.221.72.9'],['NONE'],"[['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-9.deploy.static.akamaitechnologies.com', [], ['23.221.72.9'])"
Beach TV - 30A,"['""USA"",Beach TV - 30A']",[],['NONE'],[],Error,[],['NONE'],[],,
Beach TV - Panama City,"['""USA"",Beach TV - Panama City']",[],['NONE'],[],Error,[],['NONE'],[],,
Beach TV - Pawleys Island,"['""USA"",Beach TV - Pawleys Island']",[],['NONE'],[],Error,[],['NONE'],[],,
